order_id,delivery_partner_id,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
1961864118,63230,-5.0,0.96,On Time,
1549769649,14983,2.0,0.98,On Time,Traffic
9185164487,39859,4.0,3.83,On Time,Traffic
9644738826,61497,-1.0,2.76,On Time,
5427684290,84315,1.0,2.63,On Time,Traffic
3265154092,554,-1.0,1.94,On Time,
4898355547,14630,1.0,2.2,On Time,Traffic
6568151549,67714,2.0,1.3,On Time,Traffic
6006693867,91362,3.0,3.38,On Time,Traffic
374186990,77203,7.0,1.47,Slightly Delayed,Traffic
4455336265,64046,-2.0,0.76,On Time,
3539286337,94899,-5.0,3.68,On Time,
9171116867,73907,12.0,2.23,Slightly Delayed,Traffic
5504941865,56077,11.0,4.45,Slightly Delayed,Traffic
5868326481,94140,-3.0,2.8,On Time,
2137046916,12377,-2.0,1.78,On Time,
8195544338,102,8.0,1.16,Slightly Delayed,Traffic
2889700050,45032,3.0,3.07,On Time,Traffic
65827885,1108,-5.0,1.65,On Time,
4656471694,62782,8.0,3.7,Slightly Delayed,Traffic
6625178717,74906,13.0,4.22,Slightly Delayed,Traffic
7169557514,79516,12.0,3.28,Slightly Delayed,Traffic
2268306684,65733,-1.0,1.82,On Time,
6905293278,53868,26.0,0.58,Significantly Delayed,Traffic
1769493463,22954,-5.0,1.21,On Time,
5003387344,21004,-5.0,4.52,On Time,
2064484752,43022,-5.0,2.29,On Time,
964822979,42914,-2.0,1.09,On Time,
6037899648,59131,4.0,4.56,On Time,Traffic
9347571484,88612,13.0,3.29,Slightly Delayed,Traffic
3286177534,90038,-2.0,3.07,On Time,
9073572548,28575,22.0,4.77,Significantly Delayed,Traffic
8395583761,84816,-5.0,3.53,On Time,
6355378227,23910,-1.0,3.91,On Time,
277376321,78589,-1.0,3.85,On Time,
8559748526,93002,1.0,0.94,On Time,Traffic
1458051433,61040,-4.0,2.75,On Time,
5838302640,30907,7.0,1.7,Slightly Delayed,Traffic
1380971977,52614,-5.0,4.09,On Time,
1221099013,60689,2.0,3.15,On Time,Traffic
6771166303,98179,12.0,2.55,Slightly Delayed,Traffic
7111337755,84833,-3.0,3.44,On Time,
5562922993,73904,3.0,1.64,On Time,Traffic
5630957897,14408,4.0,3.92,On Time,Traffic
1787380558,95835,2.0,2.8,On Time,Traffic
32613017,77303,0.0,4.0,On Time,
2039041670,31963,15.0,2.12,Slightly Delayed,Traffic
210693801,14789,2.0,2.5,On Time,Traffic
8120002258,61526,-4.0,2.43,On Time,
2177917034,75636,9.0,0.73,Slightly Delayed,Traffic
4254814926,1761,-1.0,1.74,On Time,
6074172790,3481,4.0,2.48,On Time,Traffic
3381573131,50582,-5.0,4.91,On Time,
3773745777,97135,0.0,3.31,On Time,
9251939156,57095,7.0,2.35,Slightly Delayed,Traffic
3872982303,60234,1.0,2.6,On Time,Traffic
2625987757,51273,2.0,4.7,On Time,Traffic
3162249401,47552,0.0,1.72,On Time,
3108986741,60867,1.0,2.09,On Time,Traffic
1851474741,12879,9.0,4.09,Slightly Delayed,Traffic
2425099132,44245,4.0,1.07,On Time,Traffic
6706793332,76503,12.0,2.99,Slightly Delayed,Traffic
2149289255,25251,19.0,2.56,Significantly Delayed,Traffic
1971008155,30330,-4.0,0.86,On Time,
2087093460,27478,-1.0,0.77,On Time,
2116712588,34078,3.0,4.26,On Time,Traffic
6054358790,52564,-5.0,3.96,On Time,
532660797,97547,14.0,4.9,Slightly Delayed,Traffic
1491991005,85285,0.0,0.89,On Time,
4136019599,34667,3.0,4.58,On Time,Traffic
2122832513,39396,20.0,3.97,Significantly Delayed,Traffic
3717703595,8041,-1.0,2.48,On Time,
3194733693,16623,7.0,1.74,Slightly Delayed,Traffic
4471162437,54708,0.0,3.78,On Time,
1609331948,58721,0.0,1.56,On Time,
6920030794,38745,-2.0,3.47,On Time,
5127172657,80034,20.0,4.41,Significantly Delayed,Traffic
8607115856,85718,-3.0,2.33,On Time,
7154957395,63099,0.0,2.28,On Time,
2070762702,64950,15.0,3.61,Slightly Delayed,Traffic
3697242439,67408,-1.0,4.71,On Time,
3063427913,24100,3.0,4.76,On Time,Traffic
2060061337,50748,12.0,3.08,Slightly Delayed,Traffic
4625892678,40337,4.0,2.74,On Time,Traffic
6045698170,16848,5.0,3.86,On Time,Traffic
7876289647,28786,12.0,2.54,Slightly Delayed,Traffic
3434084714,58201,-2.0,3.51,On Time,
9031695663,43200,6.0,3.71,Slightly Delayed,Traffic
1955989715,8135,2.0,4.81,On Time,Traffic
3459500455,20504,2.0,2.66,On Time,Traffic
5953376503,34929,16.0,0.56,Significantly Delayed,Traffic
121874867,69733,-5.0,3.08,On Time,
