order_id,customer_id,delivery_status,order_total,payment_method,delivery_partner_id,year_month
1961864118,30065862,On Time,3197.07,Cash,63230,2024-07
1549769649,9573071,On Time,976.55,Cash,14983,2024-05
9185164487,45477575,On Time,839.05,UPI,39859,2024-09
9644738826,88067569,On Time,440.23,Card,61497,2023-11
5427684290,83298567,On Time,2526.68,Cash,84315,2023-11
3265154092,43367112,On Time,3161.43,UPI,554,2023-03
4898355547,13284996,On Time,956.4,Card,14630,2023-04
6568151549,88866835,On Time,905.47,Cash,67714,2024-03
6006693867,24496983,On Time,1371.17,Card,91362,2023-07
374186990,52215833,Slightly Delayed,1601.19,Wallet,77203,2023-08
4455336265,43431724,On Time,2362.33,UPI,64046,2023-08
3539286337,77559557,On Time,1463.8,Wallet,94899,2023-04
9171116867,87107263,Slightly Delayed,822.63,Card,73907,2023-10
5504941865,76512976,Slightly Delayed,2287.68,Wallet,56077,2024-01
5868326481,37556526,On Time,1962.35,Wallet,94140,2024-03
2137046916,12059049,On Time,3373.96,UPI,12377,2024-02
8195544338,26199489,Slightly Delayed,845.71,Wallet,102,2023-04
2889700050,84848018,On Time,2706.54,Wallet,45032,2024-04
65827885,47577193,On Time,1132.98,Cash,1108,2023-07
4656471694,60728956,Slightly Delayed,1525.5,Cash,62782,2023-12
6625178717,62068277,Slightly Delayed,5718.09,Card,74906,2023-07
7169557514,84824280,Slightly Delayed,2970.9,Card,79516,2023-03
2268306684,66742602,On Time,2991.57,Wallet,65733,2024-05
6905293278,97259564,Significantly Delayed,1404.68,Cash,53868,2024-06
1769493463,3292927,On Time,2541.32,Wallet,22954,2024-06
5003387344,26592009,On Time,2475.69,Wallet,21004,2024-06
2064484752,89995124,On Time,1949.92,Wallet,43022,2024-05
964822979,88520326,On Time,5804.23,Wallet,42914,2024-07
6037899648,22738465,On Time,1231.03,Cash,59131,2024-03
9347571484,29562072,Slightly Delayed,3138.06,Card,88612,2024-11
3286177534,10225164,On Time,3612.26,Wallet,90038,2023-06
9073572548,97111069,Significantly Delayed,1091.89,Card,28575,2023-05
8395583761,1989720,On Time,410.62,UPI,84816,2024-08
6355378227,67092149,On Time,5019.02,UPI,23910,2023-08
277376321,89784343,On Time,3694.48,Wallet,78589,2024-07
